ID ra dec
1 10:48:16.4134 -59:23:47.698
2 10:48:17.1231 -59:23:38.530
3 10:48:18.2865 -59:23:50.969
4 10:48:21.9614 -59:24:00.473
5 10:48:25.4603 -59:24:09.429
6 10:48:27.1589 -59:24:03.239
7 10:48:29.6666 -59:24:20.276
8 10:48:39.1824 -59:23:57.672
9 10:48:45.0546 -59:23:07.207
10 10:48:43.3927 -59:23:17.461
11 10:48:46.8558 -59:23:49.061
12 10:48:49.6843 -59:23:52.575
13 10:48:52.9728 -59:24:01.214
14 10:48:51.2047 -59:23:52.035
15 10:48:47.7042 -59:23:54.733
