group  ID            ra           dec   color
    0   0 10:44:03.3527 -60:20:43.837   green
    0   1 10:44:03.3627 -60:20:42.481   green
    0   2 10:44:03.1901 -60:20:42.481   green
    0   3 10:44:03.1801 -60:20:43.838   green
    0   4 10:44:03.0175 -60:20:42.482   green
    0   5 10:44:02.8398 -60:20:42.504   green
    0   6 10:44:03.0091 -60:20:43.811   green
    0   7 10:44:03.7635 -60:20:42.500   green
    0   8 10:44:03.9398 -60:20:43.023   green
    0   9 10:44:03.8623 -60:20:44.331   green
    0  10 10:44:03.8483 -60:20:45.587   green
    0  11 10:44:02.6142 -60:20:42.557   green
    0  12 10:44:03.6298 -60:20:45.640   green
    0  13 10:44:02.3956 -60:20:42.610   green
    0  14 10:44:03.6228 -60:20:46.791   green
    0  15 10:44:01.9514 -60:20:42.507   green
    0  16 10:44:02.1559 -60:20:42.559   green
    0  17 10:44:01.8810 -60:20:43.815   green
    0  18 10:44:01.1124 -60:20:42.196   green
    0  19 10:44:03.6511 -60:20:48.257   green
    0  20 10:44:03.7429 -60:20:49.774   green
    0  21 10:44:04.6666 -60:20:56.216   green
    0  22 10:44:04.1024 -60:20:48.673   green
    0  23 10:44:03.9824 -60:20:46.947   green
    0  24 10:44:04.9276 -60:20:51.286   green
    0  25 10:44:04.9841 -60:20:52.646   green
    0  26 10:44:04.6952 -60:20:54.636   green
    0  27 10:44:03.8273 -60:20:46.895   green
    0  28 10:44:04.4131 -60:20:54.271   green
    0  29 10:44:04.8650 -60:21:01.019   green
    0  30 10:44:04.9356 -60:21:02.170   green
    0  31 10:44:05.0133 -60:21:03.373   green
    0  32 10:44:04.8441 -60:21:03.426   green
    0  33 10:44:05.1051 -60:21:04.681   green
    0  34 10:44:04.9076 -60:21:04.577   green
    0  35 10:44:05.1475 -60:21:05.779   green
    0  36 10:44:04.9783 -60:21:05.780   green
    0  37 10:44:05.3241 -60:21:08.395   green
    0  38 10:44:05.1548 -60:21:08.029   green
    0  39 10:44:04.7527 -60:21:07.351   green
    0  40 10:44:04.6116 -60:21:06.567   green
    0  41 10:44:04.4424 -60:21:06.882   green
    0  42 10:44:04.8022 -60:21:08.554   green
    0  43 10:44:05.0985 -60:21:09.286   green
    0  44 10:44:04.9644 -60:21:08.501   green
    0  45 10:44:04.4568 -60:21:10.859   green
    0  46 10:44:04.2947 -60:21:11.226   green
    0  47 10:44:04.3582 -60:21:12.429   green
    0  48 10:44:04.9984 -60:20:54.687   green
    0  49 10:44:04.1890 -60:21:12.482   green
    0  50 10:44:04.0126 -60:21:11.750   green
    0  51 10:44:04.0480 -60:21:12.953   green
    0  52 10:44:04.4002 -60:21:08.295   green
    0  53 10:44:04.2445 -60:21:01.650   green
    0  54 10:44:03.9062 -60:21:03.430   green
    0  55 10:44:03.8428 -60:21:04.582   green
    0  56 10:44:03.8218 -60:21:06.414   green
    0  57 10:44:03.6738 -60:21:07.565   green
    0  58 10:44:04.1254 -60:21:10.703   green
    0  59 10:44:04.0835 -60:21:16.093   green
    0  60 10:44:03.8649 -60:21:16.565   green
    0  61 10:44:03.0748 -60:21:13.533   green
    0  62 10:44:02.8421 -60:21:14.790   green
    0  63 10:44:02.6587 -60:21:14.948   green
    0  64 10:44:02.5108 -60:21:17.774   green
    0  65 10:44:02.4545 -60:21:18.873   green
    0  66 10:44:03.3567 -60:21:10.863   green
    0  67 10:44:02.5674 -60:21:20.181   green
    0  68 10:44:02.3770 -60:21:20.391   green
    0  69 10:44:02.4899 -60:21:21.542   green
    0  70 10:44:02.3418 -60:21:21.751   green
    0  71 10:44:02.2714 -60:21:22.851   green
    0  72 10:44:02.6097 -60:21:18.977   green
    0  73 10:44:04.8363 -60:20:54.792   green
    0  74 10:44:02.9110 -60:20:52.393   green
    0  75 10:44:04.8578 -60:20:59.292   green
    0  76 10:44:05.2029 -60:20:54.372   green
    0  77 10:44:02.9110 -60:20:51.347   green
    0  78 10:44:03.0731 -60:20:51.399   green
    0  79 10:44:03.0662 -60:20:52.445   green
    0  80 10:44:04.5542 -60:20:54.532   green
    0  81 10:44:04.8646 -60:20:55.996   green
    1  90 10:43:46.1729 -60:21:57.601     red
    1  91 10:43:46.3728 -60:21:57.645     red
    1  92 10:43:46.5668 -60:21:57.733     red
    1  93 10:43:46.7667 -60:21:57.777     red
    1  94 10:43:46.0317 -60:21:58.777     red
    1  95 10:43:45.9789 -60:21:57.338     red
    1  96 10:43:46.2316 -60:21:58.996     red
    1  97 10:43:46.3727 -60:21:58.779     red
    1  98 10:43:46.8018 -60:21:59.653     red
    1  99 10:43:46.0198 -60:22:00.260     red
    1 100 10:43:46.5669 -60:21:56.338     red
    1 101 10:43:46.9665 -60:21:58.345     red
    1 102 10:43:45.8200 -60:21:58.689     red
    2 110 10:44:19.8573 -60:24:54.486    cyan
    2 111 10:44:18.9092 -60:25:01.907    cyan
    2 112 10:44:20.6021 -60:24:48.261    cyan
    2 113 10:44:21.0668 -60:24:42.951    cyan
    2 114 10:44:20.9586 -60:24:50.266    cyan
    2 115 10:44:20.0438 -60:24:54.233    cyan
    2 116 10:44:19.8909 -60:24:53.167    cyan
    2 117 10:44:20.0773 -60:24:52.600    cyan
    2 118 10:44:18.8246 -60:25:03.101    cyan
    2 119 10:44:18.6211 -60:25:02.978    cyan
    2 120 10:44:19.0872 -60:25:01.779    cyan
    2 121 10:44:18.6802 -60:25:01.721    cyan
    2 122 10:44:19.5610 -60:24:56.625    cyan
    2 123 10:44:19.3325 -60:24:58.637    cyan
    2 124 10:44:19.4934 -60:24:57.819    cyan
    2 125 10:44:22.1574 -60:24:33.988    cyan
    2 126 10:44:20.8058 -60:24:49.200    cyan
    2 127 10:44:20.6110 -60:24:50.333    cyan
    2 128 10:44:21.7177 -60:24:33.212    cyan
    2 129 10:44:22.9733 -60:24:27.857    cyan
    2 130 10:44:21.0267 -60:24:48.325    cyan
    2 131 10:44:22.3773 -60:24:34.766    cyan
    2 132 10:44:23.4732 -60:24:23.619    cyan
    2 133 10:44:22.6398 -60:24:29.815    cyan
    2 134 10:44:22.9299 -60:24:30.137    cyan
    2 135 10:44:23.6841 -60:24:23.291    cyan
    2 136 10:44:23.5451 -60:24:29.738    cyan
    2 137 10:44:23.3065 -60:24:24.793    cyan
    2 138 10:44:23.4650 -60:24:25.702    cyan
    2 139 10:44:23.7028 -60:24:27.913    cyan
    2 140 10:44:21.2785 -60:24:34.455    cyan
    2 141 10:44:21.4893 -60:24:33.606    cyan
    2 142 10:44:21.8844 -60:24:31.778    cyan
    2 143 10:44:21.0046 -60:24:39.957    cyan
    2 144 10:44:20.8393 -60:24:47.316    cyan
    2 145 10:44:20.8913 -60:24:44.386    cyan
    2 146 10:44:38.4274 -60:23:47.507    cyan
    3 150 10:44:56.7684 -60:22:52.081 magenta
    3 151 10:44:56.3442 -60:22:50.814 magenta
    3 152 10:44:56.5408 -60:22:51.855 magenta
    3 153 10:44:55.7968 -60:22:53.737 magenta
    3 154 10:44:55.5544 -60:22:55.139 magenta
    3 155 10:44:55.8697 -60:22:58.212 magenta
    3 156 10:44:55.9136 -60:22:52.280 magenta
    3 157 10:44:56.5477 -60:22:50.111 magenta
    3 158 10:44:56.9965 -60:22:53.470 magenta
    3 159 10:44:54.4551 -60:22:52.438 magenta
    3 160 10:44:54.5586 -60:22:55.575 magenta
    3 161 10:44:54.5732 -60:22:53.423 magenta
    3 162 10:44:54.2975 -60:22:51.047 magenta
    3 163 10:44:56.2892 -60:23:20.350 magenta
    3 164 10:44:56.8020 -60:23:25.859 magenta
    3 165 10:44:56.4961 -60:23:25.926 magenta
    3 166 10:44:56.6541 -60:23:28.014 magenta
    3 167 10:44:56.8357 -60:23:27.323 magenta
    3 168 10:44:56.4768 -60:23:19.182 magenta
    3 169 10:44:55.3114 -60:23:28.623 magenta
    3 170 10:44:56.6866 -60:23:30.188 magenta
    3 171 10:44:55.5368 -60:23:27.639 magenta
